ticket_id,user_input_text,category,priority,user_name,device,application,system,error_message,department,annotated_for_ner,cleaned_input
T1072,Internet is very slow today,Network Issue,Low,None,None,None,None,None,Operations,no,internet is very slow today
T1073,VPN not connecting from home,Email / Communication Issue,Low,None,None,None,None,None,IT,no,vpn not connecting from home
T1074,LAN connection not working,Network Issue,Medium,None,None,None,None,None,HR,no,lan connection not working
T1075,VPN not connecting from home,Email / Communication Issue,Low,None,None,None,None,None,Admin,no,vpn not connecting from home
T1076,Software installation failing with error,Email / Communication Issue,Medium,None,None,None,None,None,IT,no,software installation failing with error
T1077,Unable to login due to access denied,Network Issue,Low,None,None,None,None,None,Sales,no,unable to login due to access denied
T1078,Email delivery delayed,Network Issue,Medium,None,None,None,None,None,Sales,no,email delivery delayed
T1079,Unable to login due to access denied,Other / General Support,Medium,None,None,None,None,None,Admin,no,unable to login due to access denied
T1080,Mouse not detected after system restart,Network Issue,Medium,None,None,None,None,None,Admin,no,mouse not detected after system restart
T1081,Email delivery delayed,Software Issue,Medium,None,None,None,None,None,Operations,no,email delivery delayed
T1082,Keyboard keys not responding properly,Network Issue,Low,None,None,None,None,None,IT,no,keyboard keys not responding properly
T1083,Karan reports: Outlook not syncing emails in Outlook showing server not reachable,Access / Authentication Issue,Medium,Karan,None,Outlook,None,server not reachable,HR,yes,karan reports outlook not syncing emails in outlook showing server not reachable
T1084,Sneha reports: Software installation failing with error in Outlook showing blue screen,Access / Authentication Issue,High,Sneha,PC,Outlook,None,blue screen,Admin,yes,sneha reports software installation failing with error in outlook showing blue screen
T1085,VPN not connecting from home,Access / Authentication Issue,Medium,None,None,None,None,None,HR,no,vpn not connecting from home
T1086,Keyboard keys not responding properly,Hardware Issue,Medium,None,None,None,None,None,Admin,no,keyboard keys not responding properly
T1087,Anita reports: VPN not connecting from home on SRV-36,Access / Authentication Issue,Medium,Anita,None,None,SRV-36,None,HR,yes,anita reports vpn not connecting from home on srv-36
T1088,Software installation failing with error,Software Issue,Medium,None,None,None,None,None,Operations,no,software installation failing with error
T1089,Karan reports: Unable to login due to access denied in Outlook on SRV-27 showing login failed,Software Issue,High,Karan,None,Outlook,SRV-27,login failed,Sales,yes,karan reports unable to login due to access denied in outlook on srv-27 showing login failed
T1090,VPN not connecting from home,Other / General Support,High,None,None,None,None,None,IT,no,vpn not connecting from home
T1091,VPN not connecting from home,Network Issue,High,None,None,None,None,None,IT,no,vpn not connecting from home
T1092,Keyboard keys not responding properly,Email / Communication Issue,High,None,None,None,None,None,IT,no,keyboard keys not responding properly
T1093,Application crashes when opening on SRV-27 showing login failed,Network Issue,Low,None,None,None,SRV-27,login failed,Finance,yes,application crashes when opening on srv-27 showing login failed
T1094,Software installation failing with error,Network Issue,Low,None,None,None,None,None,Sales,no,software installation failing with error
T1095,Outlook not syncing emails,Access / Authentication Issue,Medium,None,None,None,None,None,Admin,no,outlook not syncing emails
T1096,Rahul reports: Email delivery delayed on SRV-28,Access / Authentication Issue,High,Rahul,None,None,SRV-28,None,HR,yes,rahul reports email delivery delayed on srv-28
T1097,Mouse not detected after system restart,Network Issue,Low,None,None,None,None,None,Sales,no,mouse not detected after system restart
T1098,Amit reports: Internet is very slow today in VPN,Hardware Issue,High,Amit,None,VPN,None,None,Finance,yes,amit reports internet is very slow today in vpn
T1099,Karan reports: Mouse not detected after system restart in Chrome showing blue screen,Hardware Issue,Medium,Karan,keyboard,Chrome,None,blue screen,IT,yes,karan reports mouse not detected after system restart in chrome showing blue screen
T1100,Anita reports: VPN not connecting from home in Excel on SRV-24 showing blue screen,Email / Communication Issue,High,Anita,desktop,Excel,SRV-24,blue screen,Admin,yes,anita reports vpn not connecting from home in excel on srv-24 showing blue screen
T1101,Sneha reports: LAN connection not working showing server not reachable,Email / Communication Issue,High,Sneha,monitor,None,None,server not reachable,HR,yes,sneha reports lan connection not working showing server not reachable
T1102,Email delivery delayed,Network Issue,Low,None,None,None,None,None,Sales,no,email delivery delayed
T1103,Mouse not detected after system restart in Chrome on SRV-29,Access / Authentication Issue,Medium,None,desktop,Chrome,SRV-29,None,Admin,yes,mouse not detected after system restart in chrome on srv-29
T1104,LAN connection not working,Hardware Issue,Medium,None,None,None,None,None,HR,no,lan connection not working
T1105,LAN connection not working in Chrome,Hardware Issue,Medium,None,printer,Chrome,None,None,IT,yes,lan connection not working in chrome
T1106,Outlook not syncing emails,Network Issue,Medium,None,None,None,None,None,Admin,no,outlook not syncing emails
T1107,Internet is very slow today,Email / Communication Issue,Low,None,None,None,None,None,Operations,no,internet is very slow today
T1108,Amit reports: LAN connection not working,Email / Communication Issue,Medium,Amit,None,None,None,None,Sales,yes,amit reports lan connection not working
T1109,Priya reports: Internet is very slow today in Chrome,Hardware Issue,High,Priya,None,Chrome,None,None,IT,yes,priya reports internet is very slow today in chrome
T1110,Unable to login due to access denied on SRV-19,Access / Authentication Issue,Medium,None,None,None,SRV-19,None,HR,yes,unable to login due to access denied on srv-19
T1111,Neha reports: VPN not connecting from home in VPN,Network Issue,Low,Neha,None,VPN,None,None,Operations,yes,neha reports vpn not connecting from home in vpn
T1112,Software installation failing with error,Access / Authentication Issue,Low,None,None,None,None,None,Operations,no,software installation failing with error
T1113,Sneha reports: VPN not connecting from home showing application crash,Email / Communication Issue,High,Sneha,None,None,None,application crash,Admin,yes,sneha reports vpn not connecting from home showing application crash
T1114,Mouse not detected after system restart,Network Issue,Medium,None,None,None,None,None,HR,no,mouse not detected after system restart
T1115,Outlook not syncing emails,Hardware Issue,Low,None,None,None,None,None,IT,no,outlook not syncing emails
T1116,Rahul reports: Email delivery delayed in Chrome,Software Issue,Medium,Rahul,laptop,Chrome,None,None,Finance,yes,rahul reports email delivery delayed in chrome
T1117,Application crashes when opening,Access / Authentication Issue,Low,None,None,None,None,None,HR,no,application crashes when opening
T1118,Sneha reports: Application crashes when opening in Excel,Hardware Issue,High,Sneha,desktop,Excel,None,None,Admin,yes,sneha reports application crashes when opening in excel
T1119,VPN not connecting from home in InternalTool on SRV-21 showing application crash,Hardware Issue,Low,None,None,InternalTool,SRV-21,application crash,HR,yes,vpn not connecting from home in internaltool on srv-21 showing application crash
T1120,Rahul reports: Keyboard keys not responding properly in Outlook on SRV-52,Network Issue,Medium,Rahul,None,Outlook,SRV-52,None,Finance,yes,rahul reports keyboard keys not responding properly in outlook on srv-52
T1121,Rahul reports: Keyboard keys not responding properly,Hardware Issue,Low,Rahul,system,None,None,None,Operations,yes,rahul reports keyboard keys not responding properly
T1122,Rahul reports: Keyboard keys not responding properly in Outlook on SRV-59,Access / Authentication Issue,Low,Rahul,None,Outlook,SRV-59,None,Sales,yes,rahul reports keyboard keys not responding properly in outlook on srv-59
T1123,Priya reports: Application crashes when opening in Outlook,Software Issue,Medium,Priya,None,Outlook,None,None,Finance,yes,priya reports application crashes when opening in outlook
T1124,LAN connection not working,Network Issue,High,None,None,None,None,None,HR,no,lan connection not working
T1125,Software installation failing with error,Email / Communication Issue,Medium,None,None,None,None,None,HR,no,software installation failing with error
T1126,Keyboard keys not responding properly,Software Issue,Medium,None,None,None,None,None,Admin,no,keyboard keys not responding properly
T1127,Sneha reports: Email delivery delayed,Software Issue,Medium,Sneha,None,None,None,None,Sales,yes,sneha reports email delivery delayed
T1128,Keyboard keys not responding properly,Email / Communication Issue,High,None,None,None,None,None,Finance,no,keyboard keys not responding properly
T1129,Amit reports: Unable to login due to access denied in VPN on SRV-16 showing access denied,Other / General Support,Medium,Amit,None,VPN,SRV-16,access denied,IT,yes,amit reports unable to login due to access denied in vpn on srv-16 showing access denied
T1130,Priya reports: VPN not connecting from home in SAP on SRV-23,Other / General Support,High,Priya,monitor,SAP,SRV-23,None,HR,yes,priya reports vpn not connecting from home in sap on srv-23
T1131,Unable to login due to access denied,Other / General Support,High,None,None,None,None,None,Sales,no,unable to login due to access denied
T1132,Email delivery delayed,Access / Authentication Issue,Medium,None,None,None,None,None,HR,no,email delivery delayed
T1133,Outlook not syncing emails,Email / Communication Issue,High,None,None,None,None,None,Admin,no,outlook not syncing emails
T1134,Unable to login due to access denied,Access / Authentication Issue,High,None,None,None,None,None,HR,no,unable to login due to access denied
T1135,Software installation failing with error,Other / General Support,Medium,None,None,None,None,None,Sales,no,software installation failing with error
T1136,Outlook not syncing emails,Other / General Support,High,None,None,None,None,None,IT,no,outlook not syncing emails
T1137,VPN not connecting from home,Hardware Issue,High,None,None,None,None,None,Finance,no,vpn not connecting from home
T1138,Internet is very slow today showing access denied,Hardware Issue,Medium,None,desktop,None,None,access denied,Finance,yes,internet is very slow today showing access denied
T1139,Application crashes when opening,Other / General Support,Low,None,None,None,None,None,Finance,no,application crashes when opening
T1140,Sneha reports: Email delivery delayed showing slow performance,Email / Communication Issue,Low,Sneha,None,None,None,slow performance,Admin,yes,sneha reports email delivery delayed showing slow performance
T1141,VPN not connecting from home,Network Issue,High,None,None,None,None,None,Operations,no,vpn not connecting from home
T1142,LAN connection not working,Email / Communication Issue,High,None,None,None,None,None,Finance,no,lan connection not working
T1143,VPN not connecting from home,Network Issue,High,None,None,None,None,None,Operations,no,vpn not connecting from home
T1144,Rahul reports: Unable to login due to access denied on SRV-50 showing connection timeout,Access / Authentication Issue,Low,Rahul,PC,None,SRV-50,connection timeout,Sales,yes,rahul reports unable to login due to access denied on srv-50 showing connection timeout
T1145,Rahul reports: Keyboard keys not responding properly on SRV-45,Hardware Issue,Medium,Rahul,laptop,None,SRV-45,None,Finance,yes,rahul reports keyboard keys not responding properly on srv-45
T1146,LAN connection not working,Other / General Support,High,None,None,None,None,None,Finance,no,lan connection not working
T1147,LAN connection not working,Email / Communication Issue,Medium,None,None,None,None,None,Sales,no,lan connection not working
T1148,Karan reports: LAN connection not working in Outlook on SRV-14 showing server not reachable,Hardware Issue,High,Karan,monitor,Outlook,SRV-14,server not reachable,Operations,yes,karan reports lan connection not working in outlook on srv-14 showing server not reachable
T1149,Application crashes when opening,Email / Communication Issue,Low,None,None,None,None,None,Sales,no,application crashes when opening
T1150,VPN not connecting from home,Access / Authentication Issue,Low,None,None,None,None,None,HR,no,vpn not connecting from home
T1151,Amit reports: Internet is very slow today in Outlook showing blue screen,Email / Communication Issue,Low,Amit,system,Outlook,None,blue screen,HR,yes,amit reports internet is very slow today in outlook showing blue screen
T1152,Amit reports: Mouse not detected after system restart in Chrome showing 404 error,Email / Communication Issue,High,Amit,None,Chrome,None,404 error,Admin,yes,amit reports mouse not detected after system restart in chrome showing 404 error
T1153,Mouse not detected after system restart,Hardware Issue,Medium,None,None,None,None,None,Sales,no,mouse not detected after system restart
T1154,Unable to login due to access denied in Excel on SRV-36 showing slow performance,Email / Communication Issue,Medium,None,None,Excel,SRV-36,slow performance,Sales,yes,unable to login due to access denied in excel on srv-36 showing slow performance
T1155,LAN connection not working,Email / Communication Issue,Low,None,None,None,None,None,HR,no,lan connection not working
T1156,Outlook not syncing emails,Other / General Support,Medium,None,None,None,None,None,Sales,no,outlook not syncing emails
T1157,VPN not connecting from home,Email / Communication Issue,Low,None,None,None,None,None,Finance,no,vpn not connecting from home
T1158,Outlook not syncing emails,Hardware Issue,Medium,None,None,None,None,None,Operations,no,outlook not syncing emails
T1159,Email delivery delayed,Email / Communication Issue,Medium,None,None,None,None,None,Operations,no,email delivery delayed
T1160,Email delivery delayed,Network Issue,Low,None,None,None,None,None,Finance,no,email delivery delayed
T1161,Outlook not syncing emails,Software Issue,Low,None,None,None,None,None,Operations,no,outlook not syncing emails
T1162,Unable to login due to access denied,Email / Communication Issue,Medium,None,None,None,None,None,Finance,no,unable to login due to access denied
T1163,Keyboard keys not responding properly,Access / Authentication Issue,Medium,None,None,None,None,None,HR,no,keyboard keys not responding properly
T1164,Mouse not detected after system restart,Software Issue,High,None,None,None,None,None,Sales,no,mouse not detected after system restart
T1165,Internet is very slow today,Hardware Issue,Low,None,None,None,None,None,Operations,no,internet is very slow today
T1166,Email delivery delayed,Access / Authentication Issue,Medium,None,None,None,None,None,HR,no,email delivery delayed
T1167,Software installation failing with error,Email / Communication Issue,Low,None,None,None,None,None,Sales,no,software installation failing with error
T1168,Mouse not detected after system restart on SRV-44 showing slow performance,Other / General Support,Low,None,mouse,None,SRV-44,slow performance,Admin,yes,mouse not detected after system restart on srv-44 showing slow performance
T1169,VPN not connecting from home,Email / Communication Issue,High,None,None,None,None,None,HR,no,vpn not connecting from home
T1170,LAN connection not working,Access / Authentication Issue,Medium,None,None,None,None,None,Operations,no,lan connection not working
T1171,LAN connection not working,Hardware Issue,Medium,None,None,None,None,None,Operations,no,lan connection not working
T1172,Mouse not detected after system restart on SRV-37,Software Issue,Low,None,None,None,SRV-37,None,Sales,yes,mouse not detected after system restart on srv-37
T1173,Unable to login due to access denied,Software Issue,High,None,None,None,None,None,Operations,no,unable to login due to access denied
T1174,Amit reports: Application crashes when opening in VPN,Access / Authentication Issue,Medium,Amit,system,VPN,None,None,Admin,yes,amit reports application crashes when opening in vpn
T1175,Rahul reports: LAN connection not working in Teams on SRV-19,Email / Communication Issue,Low,Rahul,None,Teams,SRV-19,None,HR,yes,rahul reports lan connection not working in teams on srv-19
T1176,Outlook not syncing emails,Software Issue,Medium,None,None,None,None,None,Admin,no,outlook not syncing emails
T1177,Unable to login due to access denied,Other / General Support,Low,None,None,None,None,None,IT,no,unable to login due to access denied
T1178,Email delivery delayed,Hardware Issue,Medium,None,None,None,None,None,HR,no,email delivery delayed
T1179,Outlook not syncing emails in Outlook,Other / General Support,Medium,None,None,Outlook,None,None,Finance,yes,outlook not syncing emails in outlook
T1180,Unable to login due to access denied in Teams,Access / Authentication Issue,Medium,None,None,Teams,None,None,Admin,yes,unable to login due to access denied in teams
T1181,Application crashes when opening,Access / Authentication Issue,Medium,None,None,None,None,None,HR,no,application crashes when opening
T1182,Outlook not syncing emails,Email / Communication Issue,Medium,None,None,None,None,None,IT,no,outlook not syncing emails
T1183,Internet is very slow today in InternalTool showing blue screen,Hardware Issue,High,None,None,InternalTool,None,blue screen,Operations,yes,internet is very slow today in internaltool showing blue screen
T1184,Neha reports: Application crashes when opening in Teams,Network Issue,Low,Neha,None,Teams,None,None,Finance,yes,neha reports application crashes when opening in teams
T1185,Priya reports: Outlook not syncing emails in SAP,Software Issue,Low,Priya,None,SAP,None,None,Operations,yes,priya reports outlook not syncing emails in sap
T1186,VPN not connecting from home,Email / Communication Issue,Medium,None,None,None,None,None,Operations,no,vpn not connecting from home
T1187,LAN connection not working,Hardware Issue,High,None,None,None,None,None,IT,no,lan connection not working
T1188,Internet is very slow today,Access / Authentication Issue,Medium,None,None,None,None,None,IT,no,internet is very slow today
T1189,Amit reports: Software installation failing with error in SAP,Software Issue,High,Amit,PC,SAP,None,None,Admin,yes,amit reports software installation failing with error in sap
T1190,Email delivery delayed,Hardware Issue,Low,None,None,None,None,None,Sales,no,email delivery delayed
T1191,VPN not connecting from home,Software Issue,High,None,None,None,None,None,Finance,no,vpn not connecting from home
T1192,Outlook not syncing emails,Hardware Issue,Low,None,None,None,None,None,Admin,no,outlook not syncing emails
T1193,Sneha reports: Email delivery delayed in VPN on SRV-23,Access / Authentication Issue,Low,Sneha,None,VPN,SRV-23,None,IT,yes,sneha reports email delivery delayed in vpn on srv-23
T1194,Mouse not detected after system restart,Network Issue,Medium,None,None,None,None,None,Finance,no,mouse not detected after system restart
T1195,Outlook not syncing emails,Hardware Issue,Medium,None,None,None,None,None,Sales,no,outlook not syncing emails
T1196,Outlook not syncing emails,Hardware Issue,Medium,None,None,None,None,None,IT,no,outlook not syncing emails
T1197,VPN not connecting from home,Network Issue,Low,None,None,None,None,None,Sales,no,vpn not connecting from home
T1198,VPN not connecting from home showing login failed,Other / General Support,Low,None,mouse,None,None,login failed,IT,yes,vpn not connecting from home showing login failed
T1199,Keyboard keys not responding properly in VPN,Software Issue,Medium,None,PC,VPN,None,None,Sales,yes,keyboard keys not responding properly in vpn
T1200,Software installation failing with error,Email / Communication Issue,Medium,None,None,None,None,None,Finance,no,software installation failing with error
T1201,Unable to login due to access denied,Hardware Issue,Low,None,None,None,None,None,Operations,no,unable to login due to access denied
T1202,Unable to login due to access denied,Access / Authentication Issue,High,None,None,None,None,None,IT,no,unable to login due to access denied
T1203,Application crashes when opening,Hardware Issue,Medium,None,None,None,None,None,Admin,no,application crashes when opening
T1204,Keyboard keys not responding properly,Software Issue,Medium,None,None,None,None,None,Finance,no,keyboard keys not responding properly
T1205,Outlook not syncing emails,Other / General Support,High,None,None,None,None,None,Admin,no,outlook not syncing emails
T1206,Priya reports: Internet is very slow today showing server not reachable,Other / General Support,Medium,Priya,keyboard,None,None,server not reachable,Admin,yes,priya reports internet is very slow today showing server not reachable
T1207,Keyboard keys not responding properly in InternalTool on SRV-31,Network Issue,Medium,None,printer,InternalTool,SRV-31,None,Admin,yes,keyboard keys not responding properly in internaltool on srv-31
T1208,Keyboard keys not responding properly,Email / Communication Issue,Medium,None,None,None,None,None,Sales,no,keyboard keys not responding properly
T1209,Internet is very slow today,Network Issue,Low,None,None,None,None,None,Admin,no,internet is very slow today
T1210,LAN connection not working,Software Issue,High,None,None,None,None,None,Finance,no,lan connection not working
T1211,VPN not connecting from home,Access / Authentication Issue,Medium,None,None,None,None,None,Sales,no,vpn not connecting from home
T1212,Outlook not syncing emails,Email / Communication Issue,Low,None,None,None,None,None,Finance,no,outlook not syncing emails
T1213,Keyboard keys not responding properly,Software Issue,Medium,None,None,None,None,None,HR,no,keyboard keys not responding properly
T1214,Application crashes when opening,Software Issue,High,None,None,None,None,None,Finance,no,application crashes when opening
T1215,Keyboard keys not responding properly,Network Issue,Medium,None,None,None,None,None,Finance,no,keyboard keys not responding properly
T1216,Internet is very slow today,Hardware Issue,Medium,None,None,None,None,None,Finance,no,internet is very slow today
T1217,Anita reports: LAN connection not working,Hardware Issue,High,Anita,None,None,None,None,HR,yes,anita reports lan connection not working
T1218,Unable to login due to access denied,Software Issue,Medium,None,None,None,None,None,Finance,no,unable to login due to access denied
T1219,Anita reports: Mouse not detected after system restart on SRV-53 showing server not reachable,Other / General Support,Low,Anita,desktop,None,SRV-53,server not reachable,Finance,yes,anita reports mouse not detected after system restart on srv-53 showing server not reachable
T1220,Keyboard keys not responding properly,Access / Authentication Issue,Medium,None,None,None,None,None,Admin,no,keyboard keys not responding properly
T1221,Karan reports: Email delivery delayed,Access / Authentication Issue,Low,Karan,None,None,None,None,HR,yes,karan reports email delivery delayed
T1222,Keyboard keys not responding properly,Network Issue,High,None,None,None,None,None,Finance,no,keyboard keys not responding properly
T1223,Software installation failing with error,Other / General Support,High,None,None,None,None,None,Finance,no,software installation failing with error
T1224,Keyboard keys not responding properly,Software Issue,Medium,None,None,None,None,None,HR,no,keyboard keys not responding properly
T1225,Amit reports: Mouse not detected after system restart in Teams on SRV-57,Hardware Issue,High,Amit,None,Teams,SRV-57,None,Admin,yes,amit reports mouse not detected after system restart in teams on srv-57
T1226,Sneha reports: Keyboard keys not responding properly in VPN on SRV-27 showing 404 error,Access / Authentication Issue,Low,Sneha,None,VPN,SRV-27,404 error,Admin,yes,sneha reports keyboard keys not responding properly in vpn on srv-27 showing 404 error
T1227,Software installation failing with error in Teams on SRV-29,Email / Communication Issue,High,None,None,Teams,SRV-29,None,Operations,yes,software installation failing with error in teams on srv-29
T1228,Outlook not syncing emails,Network Issue,Medium,None,None,None,None,None,Operations,no,outlook not syncing emails
